r(mm),r_err,t(s),t_err,,,,,,,,,,,,
1,0.0125,20.5,0.5,,,,,,,,,,,,
1,0.0125,20.8,0.5,,,,,,,,,,,,
1,0.0125,21,0.5,,,,,,,,,,,,
1,0.0125,20.4,0.5,,,,,,,,,,,,
1,0.0125,20.3,0.5,,,,,,,,,,,,
1,0.0125,20,0.5,,,,,,,,,,,,
1,0.0125,20.2,0.5,,,,,,,,,,,,
1,0.0125,20.5,0.5,,,,,,,,,,,,
1,0.0125,20.6,0.5,,,,,,,,,,,,
0.75,0.0125,36.2,0.5,,,,,,,,,,,,
0.75,0.0125,36.1,0.5,,,,,,,,,,,,
0.75,0.0125,36.3,0.5,,,,,,,,,,,,
0.75,0.0125,36.2,0.5,,,,,,,,,,,,
0.75,0.0125,36.7,0.5,,,,,,,,,,,,
0.75,0.0125,35.5,0.5,,,,,,,,,,,,
0.75,0.0125,35.9,0.5,,,,,,,,,,,,
0.75,0.0125,36,0.5,,,,,,,,,,,,
0.75,0.0125,36.2,0.5,,,,,,,,,,,,
0.75,0.0125,36.4,0.5,,,,,,,,,,,,
0.5,0.0125,81.1,0.5,,,,,,,,,,,,
0.5,0.0125,81.2,0.5,,,,,,,,,,,,
0.5,0.0125,81.3,0.5,,,,,,,,,,,,
0.5,0.0125,81.2,0.5,,,,,,,,,,,,
0.5,0.0125,81.5,0.5,,,,,,,,,,,,
0.5,0.0125,81.7,0.5,,,,,,,,,,,,
0.5,0.0125,80.9,0.5,,,,,,,,,,,,
0.5,0.0125,80.4,0.5,,,,,,,,,,,,
0.5,0.0125,80.8,0.5,,,,,,,,,,,,
0.5,0.0125,80.7,0.5,,,,,,,,,,,,
